country,iso2,language,doc_id,document_title,issuing_body,publication_date,unesco_cohort,genre,format,url,notes
Finland,FI,en,FI-01,AI Guide for Teachers: Digital Information Literacy,Finnish National Agency for Education,2023,pre,guidance,pdf,https://www.oph.fi/sites/default/files/documents/AI_Guide_for_Teachers_Digital_Information_Literacy.pdf,Sprint 0 pilot
Finland,FI,en,FI-02,Artificial intelligence in education — legislation and recommendations,Finnish National Agency for Education,2025-03,post,guidance,html,https://www.oph.fi/en/artificial-intelligence-education-legislation-and-recommendations,Sprint 0 pilot
Finland,FI,en,FI-03,Background material: AI and ethics in education,Finnish National Agency for Education,2024,post,guidance,html,https://www.oph.fi/en/teemat-ja-kehittaminen/backround-material-ai-and-ethics-education,Sprint 0 pilot
Finland,FI,en,FI-04,Recommendations for artificial intelligence (OKM project page),Finnish Ministry of Education and Culture,2024,post,strategy,html,https://okm.fi/en/project?tunnus=OKM021%3A00%2F2024,Sprint 0 pilot — manually saved
US,US,en,US-01,DIVISION E — National Artificial Intelligence Initiative Act of 2020 (sub-sample of PLAW-116publ283),United States Congress / White House OSTP,2020-12,pre,legislation,pdf,https://www.congress.gov/116/plaws/publ283/PLAW-116publ283.pdf,Sprint 0 pilot — Division E sub-sample only
US,US,en,US-02,Artificial Intelligence and the Future of Teaching and Learning,US Department of Education OET,2023-05,pre,report,pdf,https://www.ed.gov/sites/ed/files/documents/ai-report/ai-report.pdf,Sprint 0 pilot
US,US,en,US-03,Executive Order 14277: Advancing AI Education for American Youth,The White House,2025-04-23,post,executive_order,html,https://www.whitehouse.gov/presidential-actions/2025/04/advancing-artificial-intelligence-education-for-american-youth/,Sprint 0 pilot
US,US,en,US-04,Empowering Education Leaders: A Toolkit for Safe Ethical and Equitable AI Integration,US Department of Education,2024-10-24,post,guidance,pdf,https://files.eric.ed.gov/fulltext/ED661924.pdf,Sprint 0 pilot — ERIC mirror
China,CN,en,CN-01,New Generation Artificial Intelligence Development Plan (English translation by DigiChina/New America),State Council of the People's Republic of China,2017-07-20,pre,strategy,html,https://www.newamerica.org/insights/full-translation-chinas-new-generation-artificial-intelligence-development-plan-2017/,Phase 1 batch — DigiChina translation; education chapter included
China,CN,en,CN-02,Action Plan for AI Innovation in Higher Education Institutions,Ministry of Education of the PRC,2018-04,pre,strategy,html,MANUAL:https://www.gov.cn/zhengce/zhengceku/2018-04/10/content_5360939.htm,Phase 1 batch — original Chinese page; manual fetch or Chinese-language alignment
China,CN,zh,CN-03,中小学人工智能通识教育指南 (Generic AI Education Guide for Primary and Secondary Schools),Ministry of Education of the PRC,2025-05,post,curriculum,pdf,DROP:https://aiedu.bnu.edu.cn/docs/2025-07/6ddbce1ce4b64a4884372af4c0d3ecc7.pdf,"Phase 1 batch — scanned PDF (107 pages, 0 chars extractable, would need Chinese tesseract); dropped from analysis 2026-05-30 — CN-01/02 cover China; ZH OCR can be added later if needed"
Japan,JP,en,JP-01,AI Strategy 2022 (tentative English translation),Cabinet Office Japan / Council for Science Technology and Innovation,2022-04-22,pre,strategy,pdf,https://www8.cao.go.jp/cstp/ai/aistratagy2022en.pdf,Phase 1 batch — official Cabinet Office English translation
Japan,JP,en,JP-02,AI Basic Plan (provisional translation),Cabinet Office Japan / CSTI,2026-01-16,post,strategy,pdf,https://www8.cao.go.jp/cstp/ai/ai_plan/aiplan_eng_20260116.pdf,Phase 1 batch — replaces older 2023 MEXT guidance with newer macro plan
Japan,JP,ja,JP-03,Guidelines on the Use of Generative AI in Primary and Secondary Education (ver. 2.0),Ministry of Education Culture Sports Science and Technology (MEXT),2024-12,post,guidance,pdf,https://www.mext.go.jp/content/20250422-mxt_shuukyo01-000030823_001.pdf,Phase 1 batch — Japanese original; MEXT v2.0
Germany,DE,de,DE-01,Strategie Künstliche Intelligenz der Bundesregierung — Fortschreibung 2020,German Federal Government (BMWi/BMBF/BMAS),2020-12-01,pre,strategy,pdf,https://www.ki-strategie-deutschland.de/files/downloads/201201_Fortschreibung_KI-Strategie.pdf,Phase 1 batch — official 2020 update of national AI strategy
Germany,DE,de,DE-02,KI-Aktionsplan des BMBF,Federal Ministry of Education and Research (BMBF),2023-11,pre,strategy,html,MANUAL:https://www.bmftr.bund.de/SharedDocs/Pressemitteilungen/DE/2023/11/071123-KI-Aktionsplan.html,Phase 1 batch — BMFTR press page; user saved as .html (2026-05-30)
Germany,DE,de,DE-03,Handlungsempfehlung zum Umgang mit KI in schulischen Bildungsprozessen,Kultusministerkonferenz (KMK),2024-10-10,post,guidance,pdf,https://www.kmk.org/fileadmin/Dateien/veroeffentlichungen_beschluesse/2024/2024_10_10-Handlungsempfehlung-KI.pdf,Phase 1 batch — KMK conference decision; post-Sept 2024
France,FR,fr,FR-01,Stratégie nationale pour l'intelligence artificielle — 2e phase (dossier de presse),Government of France / Ministère de l'Enseignement supérieur,2021-11,pre,strategy,pdf,https://www.enseignementsup-recherche.gouv.fr/sites/default/files/2021-11/dossier-de-presse---strat-gie-nationale-pour-l-intelligence-artificielle-2e-phase-14920.pdf,Phase 1 batch — 2e phase 2021 announcement
France,FR,fr,FR-02,L'IA en éducation : cadre d'usage,Ministère de l'Éducation nationale,2025-06,post,guidance,pdf,https://www.education.gouv.fr/sites/default/files/2025-06/l-ia-en-ducation---cadre-d-usage-440685.pdf,Phase 1 batch — direct PDF URL (replaces /media/.../download proxy that 403s curl). June 2025 publication; post-Sept 2024
France,FR,fr,FR-03,Stratégie nationale IA — synthèse (Cour des comptes 2025 update),Cour des comptes France,2025-11-19,post,report,pdf,https://www.vie-publique.fr/files/rapport/pdf/300981.pdf,"Phase 1 batch — vie-publique.fr mirror (ccomptes.fr unreachable from user network); 2025 update of independent SNIA audit; post-Sept 2024"
Canada,CA,en,CA-01,Pan-Canadian Artificial Intelligence Strategy (ISED programme page),Innovation Science and Economic Development Canada (ISED),2017-03 (renewed 2022),pre,strategy,html,https://ised-isde.canada.ca/site/ised/en/pan-canadian-artificial-intelligence-strategy,Phase 1 batch — official ISED programme page
Canada,CA,en,CA-02,Artificial Intelligence in Education: Advice for Members,Elementary Teachers' Federation of Ontario (ETFO),2024-10,post,guidance,pdf,https://www.etfo.ca/getmedia/89a220d8-fdf5-44cb-a6cf-621b4855706e/241113_AIEducation.pdf,Phase 1 batch — provincial-union advice; province-level proxy for post-Sept 2024
Canada,CA,en,CA-03,Pan-Canadian AI Strategy — CIFAR phase II programme page,CIFAR,2022-06,pre,strategy,html,https://cifar.ca/ai/,Phase 1 batch — CIFAR programme administration
Australia,AU,en,AU-01,Australian Framework for Generative Artificial Intelligence (AI) in Schools,Australian Education Ministers Meeting / Department of Education,2023-10-05,pre,guidance,docx,MANUAL:https://www.education.gov.au/schooling/resources/australian-framework-generative-artificial-intelligence-ai-schools,"Phase 1 batch — education.gov.au Cloudflare-blocks curl; user downloaded as .docx (2026-05-30); needs docx text extraction in pipeline"
Australia,AU,en,AU-02,2024 Review of the Australian Framework for Generative AI in Schools,Australian Department of Education,2024-12,post,guidance,html,MANUAL:https://www.education.gov.au/schooling/announcements/2024-review-australian-framework-generative-artificial-intelligence-schools,"Phase 1 batch — Cloudflare-blocked; user saved as .html (2026-05-30); post-Sept 2024"
Australia,AU,en,AU-03,The Australian Framework for Generative AI in Schools (AITSL hosted resource),AITSL,2023-10,pre,guidance,html,https://www.aitsl.edu.au/tools-resources/resource/the-australian-framework-for-generative-artificial-intelligence-(ai)-in-schools,"Phase 1 batch — replaces poster (too short to be useful) with AITSL resource page; companion to AU-01"
Israel,IL,en,IL-01,National Program for Artificial Intelligence (English),Israel Innovation Authority,2025-05-14,post,strategy,pdf,https://innovationisrael.org.il/wp-content/uploads/2025/05/AI-National-Program-en-14.5.25.pdf,Phase 1 batch 2 — official English version; post-Sept 2024
Israel,IL,en,IL-02,Israel's Policy on AI Regulation and Ethics,Ministry of Innovation Science and Technology / Ministry of Justice,2023-12,pre,strategy,pdf,MANUAL:https://www.gov.il/BlobFolder/policy/ai_2023/en/Israels%20AI%20Policy%202023.pdf,"Phase 1 batch 2 — gov.il 403s curl; manual browser download required; 'Responsible Innovation' AI policy"
India,IN,en,IN-01,National Strategy for Artificial Intelligence #AIForAll (Discussion Paper),NITI Aayog,2018-06,pre,strategy,pdf,https://www.niti.gov.in/sites/default/files/2023-03/National-Strategy-for-Artificial-Intelligence.pdf,Phase 1 batch 2 — #AIForAll strategy; sectoral focus on education
India,IN,en,IN-02,Responsible AI #AIForAll Approach Document for India,NITI Aayog,2022-11-02,pre,strategy,pdf,https://www.niti.gov.in/sites/default/files/2022-11/Ai_for_All_2022_02112022_0.pdf,Phase 1 batch 2 — responsible-AI principles + education subset
India,IN,en,IN-03,IndiaAI Mission — programme page,Ministry of Electronics and Information Technology,2024-03,pre,strategy,html,MANUAL:https://indiaai.gov.in/government/niti-aayog,Phase 1 batch 2 — IndiaAI portal page; HTML browser save if scripted fails
Estonia,EE,en,EE-01,Estonia's AI Strategy — Kratt vision page,Government of Estonia,2019 (updated 2022 + 2024),pre,strategy,html,https://www.kratid.ee/en/kratt-visioon,Phase 1 batch 2 — kratid.ee Kratt vision/strategy page; bilateral mirror for Estonian strategy
Estonia,EE,en,EE-02,AI Action Plan 2024-2026 (Kratt regulations.ai summary),Estonian Government Office (MKM),2024-03,post,strategy,html,https://regulations.ai/regulations/estonia-2024-03-kratt-action-plan-2024-2026,"Phase 1 batch 2 — regulations.ai summary used as English-language proxy for the Kratt 2024-2026 action plan; original Estonian-language PDF added in Sprint 2 if needed"
Norway,NO,en,NO-01,National Strategy for Artificial Intelligence (English),Norwegian Ministry of Local Government and Modernisation,2020-01,pre,strategy,pdf,https://www.regjeringen.no/contentassets/1febbbb2c4fd4b7d92c67ddd353b6ae8/en-gb/pdfs/ki-strategi_en.pdf,Phase 1 batch 2 — official English PDF
Norway,NO,en,NO-02,AI in Higher Education — HK-dir programme page,Norwegian Directorate for Higher Education and Skills (HK-dir),2024,post,guidance,html,MANUAL:https://www.forskningsradet.no/en/research-policy-strategy/ltp/artificial-intelligence/,Phase 1 batch 2 — Research Council AI initiative as proxy; HK-dir specific guidance needs separate hunt
Sweden,SE,en,SE-01,National Approach to Artificial Intelligence,Swedish Government,2018-05-16,pre,strategy,pdf,https://wp.oecd.ai/app/uploads/2021/12/Sweden_National_Approach_to_Artificial_Intelligence_2018.pdf,Phase 1 batch 2 — OECD AI Observatory mirror; education-skills focus
Sweden,SE,en,SE-02,AI Competence for Sweden — programme page,AI Competence for Sweden / national universities consortium,2018-06,pre,strategy,html,https://ai-competence.se/en/about/,Phase 1 batch 2 — consortium AI Competence for Sweden; education-skills programme
Netherlands,NL,en,NL-01,Strategic Action Plan for Artificial Intelligence (SAPAI),Dutch Ministry of Economic Affairs and Climate Policy,2019-10-08,pre,strategy,pdf,https://wp.oecd.ai/app/uploads/2021/12/Netherlands_Strategic_Action_Plan_for_Artificial_Intelligence.pdf,Phase 1 batch 2 — OECD AI Observatory mirror; NL national strategy
Netherlands,NL,en,NL-02,Dutch AI Coalition and SAPAI programme,European Commission Futurium / Dutch AI Coalition,2019-2024,pre,strategy,html,https://ec.europa.eu/futurium/en/european-ai-alliance/dutch-ai-coalition-and-strategic-action-plan-artificial-intelligence.html,Phase 1 batch 2 — coalition / programme page
Ireland,IE,en,IE-01,Digital Strategy for Schools to 2027,Department of Education Ireland,2022-04,pre,strategy,pdf,https://assets.gov.ie/221285/6fc98405-d345-41a3-a770-c97e1a4479d3.pdf,Phase 1 batch 3 — gov.ie assets mirror
Ireland,IE,en,IE-02,Guidance on Artificial Intelligence (AI) in Schools,Department of Education Ireland,2025,post,guidance,pdf,https://assets.gov.ie/static/documents/dee23cad/Guidance_on_Artificial_Intelligence_in_Schools_2025.pdf,Phase 1 batch 3 — 2025 AI guidance; post-Sept 2024
Spain,ES,es,ES-01,Estrategia Nacional de Inteligencia Artificial (ENIA) — Resumen ejecutivo,Government of Spain,2020-12-02,pre,strategy,pdf,https://www.lamoncloa.gob.es/presidente/actividades/Documents/2020/ENIAResumen2B.pdf,"Phase 1 batch 3 — executive summary (replaces 17MB full PDF that timed out); same official source"
Spain,ES,es,ES-02,Estrategia de Inteligencia Artificial 2024,Government of Spain,2024-05-14,post,strategy,pdf,https://www.lamoncloa.gob.es/consejodeministros/resumenes/Documents/2024/140524-%20Plan%20IA%202024-detallado.pdf,Phase 1 batch 3 — 2024 strategy update; post-Sept 2024
Italy,IT,en,IT-01,Italian Strategy for Artificial Intelligence 2024-2026 (English),Agenzia per l'Italia Digitale (AgID),2024-07,post,strategy,pdf,https://www.agid.gov.it/sites/agid/files/2024-07/Italian_strategy_for_artificial_intelligence_2024-2026.pdf,Phase 1 batch 3 — official English; post-Sept 2024
Italy,IT,it,IT-02,Strategia Italiana per l'Intelligenza Artificiale 2024-2026 (Italian),Agenzia per l'Italia Digitale (AgID),2024-07,post,strategy,pdf,https://www.agid.gov.it/sites/agid/files/2024-07/Strategia_italiana_per_l_Intelligenza_artificiale_2024-2026.pdf,Phase 1 batch 3 — original Italian; post-Sept 2024
UAE,AE,en,AE-01,UAE National Strategy for Artificial Intelligence 2031,UAE Artificial Intelligence Office,2017 (English version 2021),pre,strategy,html,https://oecd.ai/en/wonk/documents/united-arab-emirates-national-strategy-for-ai-2017-2031,Phase 1 batch 3 — OECD AI Wonk mirror (replaces ai.gov.ae which Cloudflare-blocks curl); same UAE strategy document
UAE,AE,en,AE-02,UAE National AI Strategy 2031 — OECD policy initiative page,OECD AI Observatory,2024,post,strategy,html,https://oecd.ai/en/dashboards/policy-initiatives/uae-national-strategy-for-ai-8711,"Phase 1 batch 3 — OECD policy-initiative page on UAE strategy (replaces u.ae timeout); provides current-state context"
Saudi Arabia,SA,en,SA-01,National Strategy for Data & AI (NSDAI 2020),Saudi Data and Artificial Intelligence Authority (SDAIA),2020-10,pre,strategy,pdf,https://wp.oecd.ai/app/uploads/2021/12/Saudi_Arabia_National_Strategy_for_Data_and_AI_2020.pdf,Phase 1 batch 3 — OECD AI Observatory mirror
Saudi Arabia,SA,en,SA-02,Saudi NSDAI 2020 — Saudipedia entry,Saudipedia / SDAIA,2020-10,pre,report,html,https://saudipedia.com/en/national-strategy-for-data-and-ai-nsdai,"Phase 1 batch 3 — Saudipedia structured entry on NSDAI (replaces Access Partnership URL 404 + sdaia.gov.sa PDF HTTP/2 fail); SA-01 is the primary doc"
Brazil,BR,pt,BR-01,Estratégia Brasileira de Inteligência Artificial (EBIA — documento referência),Ministry of Science Technology and Innovation (MCTI),2021-07-13,pre,strategy,html,https://www.gov.br/mcti/pt-br/acompanhe-o-mcti/transformacaodigital/arquivosinteligenciaartificial/ebia-documento_referencia_4-979_2021.pdf,"Phase 1 batch 3 — gov.br returns HTML wrapper for this URL; format corrected pdf→html (2026-05-30)"
Brazil,BR,pt,BR-02,Plano Brasileiro de IA 2024-2028 (PBIA) — academic analysis,MCTI / AJIC academic mirror,2024-07-30,post,strategy,pdf,https://ajic.wits.ac.za/article/download/20424/23447/128862,Phase 1 batch 3 — AJIC academic mirror of PBIA; post-Sept 2024
Brazil,BR,pt,BR-03,EBIA Câmara dos Deputados analysis,Câmara dos Deputados,2022,pre,report,pdf,https://bd.camara.leg.br/bd/bitstreams/a03477da-58d2-4928-855b-2265a9e9e1b6/download,Phase 1 batch 3 — parliamentary analysis of EBIA implementation
Mexico,MX,es,MX-01,Agenda Nacional Mexicana de Inteligencia Artificial 2030,IA2030Mx coalition,2020,pre,strategy,pdf,https://wp.oecd.ai/app/uploads/2022/01/Mexico_Agenda_Nacional_Mexicana_de_IA_2030.pdf,Phase 1 batch 3 — OECD AI mirror; multi-stakeholder national agenda
Mexico,MX,es,MX-02,AISCI 2020 Mexico country report,IA2030Mx / Center for AI and Digital Policy,2020,pre,report,pdf,https://s899a9742c3d83292.jimcontent.com/download/version/1613054728/module/8284007563/name/AISCI-2020-Mexico.pdf,Phase 1 batch 3 — AISCI 2020 country profile
South Africa,ZA,en,ZA-01,Draft South Africa National Artificial Intelligence (AI) Policy,Department of Communications and Digital Technologies (DCDT),2024-10,post,strategy,pdf,https://www.gov.za/sites/default/files/gcis_document/202604/54477gen3880.pdf,"Phase 1 batch 3 — gov.za direct PDF (replaces Phoca download landing page that only had nav text); fixed 2026-05-30"
South Africa,ZA,en,ZA-02,South Africa: Adopting AI for All Citizens — ISC AI Case Study,International Science Council,2025-02,post,report,pdf,https://council.science/wp-content/uploads/2025/02/AI-Paper-Case-Study-South-Africa_V2.pdf,"Phase 1 batch 3 — replaces AISCI 2020 file that was wrongly Saudi Arabia content; ISC case study covers SA national strategy"
